T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
1,4,104,1,1,1
2,4,104,1,1,1
3,4,104,1,1,1
4,4,104,1,1,1
5,4,104,1,1,1
6,4,104,1,1,1
7,4,104,1,1,1
8,4,104,1,1,1
9,4,104,1,1,1
10,4,104,1,1,1
11,4,104,1,1,1
12,4,104,1,1,1
13,4,104,1,1,1
14,4,104,1,1,1
15,4,104,1,1,1
16,4,104,1,1,1
17,4,104,1,1,1
18,4,104,1,1,1
19,4,104,1,1,1
20,4,104,2,2,2
21,4,104,1,1,1
22,4,104,1,1,2
23,4,104,1,1,1
24,4,104,1,1,1
25,4,104,1,1,2
26,4,104,1,1,1
27,4,104,2,2,2
28,4,104,1,1,2
29,4,104,2,2,2
30,4,104,1,1,2
31,4,104,1,1,1
32,4,104,2,2,2
33,4,104,2,2,3
34,4,104,1,1,1
35,4,104,2,2,2
36,4,104,3,3,3
37,4,104,1,1,2
38,4,104,1,1,2
39,4,104,1,1,3
40,4,104,1,1,4
41,4,104,1,1,1
42,4,104,1,1,2
43,4,104,1,1,2
44,4,104,1,1,2
45,4,104,2,2,3
46,4,104,1,1,1
47,4,104,1,1,1
48,4,104,2,2,2
49,4,104,1,1,3
50,4,104,4,4,4
51,4,104,1,1,2
52,4,104,1,1,1
53,4,104,1,1,1
54,4,104,1,1,4
55,4,104,2,2,2
56,4,104,2,2,3
57,4,104,2,1,1
58,4,104,1,1,3
59,4,104,3,3,3
60,4,104,2,2,2
61,3,104,1,1,5
62,3,104,2,1,3
63,3,104,1,1,2
64,3,104,2,2,3
65,3,104,1,1,4
66,3,104,1,1,2
67,3,104,2,2,3
68,3,104,2,1,3
69,3,104,1,1,3
70,3,104,2,1,1
71,3,104,2,2,4
72,3,104,1,1,2
73,3,104,2,1,2
74,3,104,1,1,3
75,3,104,1,1,3
76,3,104,2,1,4
77,3,104,2,2,4
78,3,104,2,2,2
79,3,104,1,1,2
80,3,104,2,2,4
81,3,104,1,1,3
82,3,104,1,1,2
83,3,104,1,1,1
84,3,104,2,2,2
85,3,104,1,1,1
86,3,104,3,3,5
87,3,104,3,3,3
88,3,104,2,2,4
89,3,104,2,1,2
90,3,104,2,2,4
91,3,104,3,2,3
92,3,104,3,3,3
93,3,104,2,1,3
94,3,104,1,1,2
95,3,104,2,1,2
96,3,104,2,2,3
97,3,104,2,2,3
98,3,104,3,2,3
99,3,104,5,5,6
100,3,104,3,2,4
101,3,104,3,2,2
102,3,104,2,2,3
103,3,104,2,2,3
104,3,104,2,1,3
105,3,104,2,1,3
106,3,104,3,3,3
107,3,104,2,1,1
108,3,104,1,1,4
109,3,104,2,2,3
110,3,104,3,1,3
111,3,104,4,4,4
112,3,104,1,1,3
113,3,104,2,2,2
114,3,104,4,4,4
115,3,104,3,3,3
116,3,104,2,1,4
117,3,104,1,1,2
118,3,104,3,1,3
119,3,104,3,3,4
120,3,104,3,3,5
121,3,104,2,2,3
122,3,104,2,1,3
123,3,104,2,1,4
124,3,104,4,4,6
125,3,104,4,4,5
126,3,104,2,2,7
127,3,104,4,3,5
128,3,104,6,6,8
129,3,104,3,1,6
130,3,104,2,2,3
131,3,104,2,2,5
132,3,104,5,5,7
133,3,104,3,2,4
134,3,104,3,3,9
135,3,104,2,2,4
136,3,104,2,1,5
137,3,104,3,1,2
138,3,104,3,1,4
139,3,104,2,2,7
140,3,104,3,1,3
141,3,104,2,2,5
142,3,104,3,3,4
143,3,104,1,1,3
144,3,104,4,4,4
145,3,104,1,1,4
146,3,104,3,3,6
147,3,104,3,3,4
148,3,104,2,2,4
149,3,104,3,1,7
150,3,104,1,1,3
151,3,104,2,2,3
152,3,104,3,2,5
153,3,104,3,1,4
154,3,104,4,4,6
155,3,104,1,1,5
156,3,104,3,3,6
157,3,104,4,4,7
158,3,104,5,5,7
159,3,104,3,2,5
160,3,104,5,5,7
161,3,104,2,1,5
162,3,104,4,3,5
163,3,104,3,2,4
164,3,104,2,1,4
165,3,104,3,2,4
166,3,104,5,5,5
167,3,104,4,2,8
168,3,104,4,4,10
169,3,104,4,2,4
170,3,104,2,1,3
171,3,104,3,1,5
172,3,104,2,2,6
173,3,104,5,3,5
174,3,104,3,2,6
175,3,104,4,4,5
176,3,104,2,1,6
177,3,104,2,1,4
178,3,104,2,2,4
179,3,104,3,3,5
180,3,104,3,3,7
181,3,104,2,2,6
182,3,104,3,1,6
183,3,104,5,5,5
184,3,104,3,1,4
185,3,104,5,5,6
186,3,104,4,4,7
187,3,104,2,2,4
188,3,104,5,5,8
189,3,104,3,2,7
190,3,104,2,1,4
191,3,104,3,3,5
192,3,104,4,3,5
193,3,104,4,4,6
194,3,104,5,2,8
195,3,104,5,4,7
196,3,104,3,3,8
197,3,104,3,1,5
198,3,104,4,3,5
199,3,104,3,2,5
200,3,104,4,3,9
201,3,104,6,3,8
202,3,104,6,6,8
203,3,104,3,2,7
204,3,104,4,2,5
205,3,104,7,4,9
206,3,104,6,6,9
207,3,104,3,3,9
208,3,104,5,4,8
209,3,104,4,3,6
210,3,104,4,4,5
211,3,104,4,3,4
212,3,104,3,3,6
213,3,104,4,2,6
214,3,104,2,1,4
215,3,104,4,3,6
216,3,104,7,7,9
217,3,104,2,2,6
218,3,104,3,2,5
219,3,104,8,8,10
220,3,104,2,2,6
221,3,104,3,2,5
222,3,104,3,1,4
223,3,104,3,2,6
224,3,104,4,1,9
225,3,104,4,2,9
226,3,104,3,1,5
227,3,104,3,3,8
228,3,104,4,2,3
229,3,104,5,5,7
230,3,104,6,6,6
231,3,104,4,3,9
232,3,104,5,2,10
