T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
1,4,104,1,1,1
2,4,104,1,1,1
3,4,104,1,1,2
4,4,104,1,1,1
5,4,104,1,1,1
6,4,104,2,2,3
7,4,104,1,1,1
8,4,104,2,1,2
9,4,104,3,3,4
10,4,104,1,1,1
11,4,104,1,1,1
12,4,104,3,2,5
13,4,104,2,2,2
14,4,104,1,1,1
15,4,104,1,1,3
16,4,104,2,2,2
17,4,104,1,1,1
18,4,104,3,3,3
19,4,104,1,1,1
20,4,104,2,2,2
21,4,104,4,3,6
22,4,104,1,1,2
23,4,104,1,1,2
24,4,104,3,2,4
25,4,104,1,1,3
26,4,104,5,2,5
27,4,104,2,2,3
28,4,104,6,4,7
29,4,104,2,2,3
30,4,104,2,2,4
31,4,104,2,2,5
32,4,104,7,5,8
33,4,104,3,3,6
34,4,104,4,4,7
35,4,104,3,3,7
36,4,104,3,3,3
37,4,104,3,2,6
38,4,104,2,2,2
39,4,104,2,2,3
40,4,104,5,5,8
41,4,104,3,3,8
42,4,104,3,3,4
43,4,104,4,4,9
44,4,104,8,6,9
45,4,104,6,6,9
46,4,104,4,4,9
47,4,104,4,4,5
48,4,104,9,7,10
49,4,104,10,3,7
50,4,104,4,4,4
51,4,104,3,3,4
52,4,104,11,8,11
53,4,104,4,4,12
54,4,104,4,2,4
55,4,104,4,4,5
56,4,104,4,4,5
57,4,104,5,5,10
58,4,104,4,3,8
59,4,104,6,6,11
60,4,104,5,3,9
61,4,104,4,3,10
62,4,104,5,3,5
63,4,104,5,5,6
64,4,104,5,5,13
65,4,104,5,5,10
66,4,104,6,4,6
67,4,104,6,4,10
68,4,104,5,4,11
69,4,104,2,2,2
70,4,104,6,4,11
71,4,104,6,6,7
72,4,104,6,1,11
73,4,104,7,7,12
74,4,104,12,4,12
75,4,104,3,3,3
76,4,104,6,6,12
77,4,104,3,3,3
78,4,104,13,5,13
79,4,104,4,4,4
80,4,104,7,7,13
81,4,104,7,7,8
82,4,104,5,5,5
83,4,104,4,4,5
84,4,104,14,9,14
85,4,104,8,8,14
86,4,104,7,5,14
87,4,104,7,5,8
88,4,104,5,5,6
89,4,104,8,6,15
90,4,104,8,6,9
91,4,104,8,8,13
92,4,104,9,9,15
93,4,104,7,5,7
94,4,104,8,5,8
95,4,104,15,6,16
96,4,104,7,7,13
97,4,104,10,10,16
98,4,104,9,5,17
99,4,104,5,5,8
100,4,104,8,6,9
101,4,104,6,6,7
102,4,104,6,6,7
103,4,104,9,9,14
104,4,104,6,6,10
105,4,104,10,7,18
106,4,104,16,10,15
107,4,104,8,8,14
108,4,104,9,7,10
109,4,104,10,6,16
110,4,104,7,7,8
111,4,104,11,11,17
112,4,104,9,6,10
113,4,104,11,6,19
114,4,104,17,11,17
115,4,104,12,7,20
116,4,104,7,7,11
117,4,104,10,10,15
118,4,104,8,8,9
119,4,104,11,7,18
120,4,104,9,9,10
121,4,104,9,8,10
122,4,104,8,8,12
123,4,104,10,7,11
124,4,104,10,10,11
125,4,104,11,11,16
126,4,104,11,5,16
127,4,104,9,7,11
128,4,104,9,9,13
129,4,104,10,10,14
130,4,104,12,12,17
131,4,104,7,7,11
132,4,104,11,11,12
133,4,104,12,6,17
134,4,104,13,7,18
135,4,104,10,8,12
136,4,104,18,7,21
137,4,104,8,8,12
138,4,104,13,13,18
139,4,104,11,9,13
140,4,104,13,8,22
141,4,104,14,9,23
142,4,104,12,8,14
143,4,104,14,8,19
144,4,104,15,10,24
145,4,104,10,8,14
146,4,104,16,11,25
147,4,104,12,8,19
148,4,104,13,9,15
149,4,104,15,9,20
150,4,104,19,8,26
151,4,104,9,9,13
152,4,104,17,8,27
153,4,104,10,9,21
154,4,104,18,9,28
155,4,104,13,9,20
156,4,104,19,10,29
157,4,104,17,12,30
158,4,104,14,14,20
159,4,104,11,11,15
160,4,104,20,11,31
161,4,104,16,10,22
162,4,104,15,15,21
163,4,104,12,10,15
164,4,104,16,2,20
165,4,104,10,9,15
166,4,104,13,12,21
167,4,104,12,12,16
168,4,104,17,11,23
169,4,104,16,16,22
170,4,104,18,13,32
171,4,104,12,12,13
172,4,104,20,9,33
173,4,104,17,17,23
174,4,104,21,10,34
175,4,104,11,9,16
176,4,104,22,12,21
177,4,104,14,10,16
178,4,104,23,13,22
179,4,104,11,10,16
180,4,104,24,11,35
181,4,104,25,12,36
182,4,104,15,11,17
183,4,104,19,14,37
184,4,104,17,3,22
185,4,104,12,10,17
186,4,104,21,12,38
187,4,104,18,12,24
188,4,104,22,13,39
189,4,104,26,14,23
190,4,104,13,13,17
191,4,104,27,15,24
192,4,104,14,13,24
193,4,104,12,11,17
194,4,104,20,15,40
195,4,104,18,18,24
196,4,104,12,10,25
197,4,104,23,14,41
198,4,104,13,11,18
199,4,104,14,14,19
200,4,104,28,16,25
201,4,104,15,14,25
202,4,104,13,13,14
203,4,104,19,19,25
204,4,104,18,4,26
205,4,104,16,15,27
206,4,104,24,15,42
207,4,104,14,12,19
208,4,104,15,13,20
209,4,104,13,12,20
210,4,104,16,10,26
211,4,104,14,14,15
212,4,104,29,17,27
213,4,104,15,15,16
214,4,104,13,11,21
215,4,104,15,15,21
216,4,104,16,16,17
217,4,104,17,11,28
218,4,104,21,16,43
219,4,104,17,17,18
220,4,104,14,12,22
221,4,104,16,12,21
222,4,104,15,13,23
223,4,104,25,16,44
224,4,104,19,13,26
225,4,104,17,16,28
226,4,104,20,20,26
227,4,104,10,10,18
228,4,104,11,11,19
229,4,104,14,13,21
230,4,104,22,17,45
231,4,104,18,18,19
232,4,104,20,14,27
