T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
0.0013395,4,128,0,0,0
0.0017713,4,128,0,0,0
0.002307,3,128,0,0,0
0.0029211,3,128,2,2,2
0.003267,3,128,0,0,0
0.0037523,3,128,0,0,0
0.0044433,3,128,0,0,0
0.0052969,3,128,1,0,1
0.0057459,3,128,0,0,0
0.006104,3,128,1,1,1
0.006461,3,128,2,2,2
0.0069766,3,128,2,2,2
0.0072558,3,128,0,0,0
0.0075874,3,128,0,0,0
0.0078777,3,128,0,0,0
0.00817,3,128,2,2,2
0.0089934,3,128,0,0,0
0.0092752,3,128,2,0,2
0.0095585,3,128,3,3,3
0.0098301,3,128,0,0,0
0.0101104,3,128,1,1,1
0.0103974,3,128,0,0,0
0.0106808,3,128,0,0,0
0.0109629,3,128,0,0,0
0.0113325,4,128,0,0,0
0.0116967,4,128,0,0,0
0.0119743,4,128,0,0,0
0.0124457,4,128,1,1,1
0.0127312,4,128,2,2,2
0.0130467,4,128,1,1,0
0.0149477,4,128,0,0,0
0.0156148,4,128,4,1,3
0.016552,4,128,4,3,0
0.0174362,4,128,0,0,0
0.0198484,4,128,2,0,3
0.0203956,4,128,0,0,0
0.0209058,4,128,2,0,3
0.0213883,4,128,0,0,0
0.0218576,4,128,0,0,0
0.0224484,4,128,1,1,1
0.0230241,4,128,0,0,0
0.0237041,4,128,2,2,2
0.0242395,4,128,2,2,3
0.0249768,4,128,4,3,0
0.025503,4,128,4,3,0
0.0262094,5,128,4,3,0
0.0267441,5,128,3,3,2
0.0272691,5,128,0,0,1
0.0289839,5,128,2,0,0
0.0295016,5,128,1,1,1
0.0299754,5,128,4,4,1
0.0304673,5,128,1,0,0
0.0312119,5,128,0,0,0
0.0318945,5,128,2,2,2
0.0324336,5,128,2,1,1
0.0329143,5,128,4,1,0
0.0334189,5,128,2,2,0
0.0340381,4,128,4,3,0
0.0346874,4,128,2,2,0
0.0352944,4,128,1,0,1
0.0360347,5,128,5,5,0
0.0367874,5,128,0,0,0
0.0373562,5,128,1,0,0
0.106135,5,128,3,2,1
0.106714,5,128,3,1,1
0.107237,5,128,3,1,1
