T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
1,4,104,0,0,0
1,4,104,0,0,0
3,4,104,0,0,0
3,4,104,2,2,2
3,4,104,0,0,0
3,4,104,0,0,0
3,4,104,0,0,0
4,4,104,1,0,1
4,4,104,0,0,0
4,4,104,1,1,1
4,4,104,2,2,2
4,4,104,2,2,2
4,4,104,0,0,0
4,4,104,0,0,0
5,4,104,0,0,0
5,4,104,2,2,2
5,4,104,0,0,0
6,4,104,2,0,2
6,4,104,3,3,3
6,4,104,0,0,0
6,4,104,1,1,1
7,4,104,0,0,0
7,4,104,0,0,0
8,4,104,0,0,0
8,4,104,0,0,0
8,4,104,1,0,3
8,4,104,0,0,0
8,4,104,1,0,0
8,4,104,0,0,0
8,4,104,2,2,2
11,4,104,1,1,1
11,4,104,1,1,1
11,4,104,2,2,4
13,4,104,3,3,3
13,4,104,1,1,1
13,4,104,2,2,5
13,4,104,1,1,1
14,4,104,3,0,2
14,4,104,0,0,1
14,4,104,0,0,1
15,4,104,2,2,2
15,4,104,0,0,2
16,4,104,0,0,1
16,4,104,2,0,2
16,4,104,1,1,2
17,4,104,2,0,2
20,4,104,1,1,1
20,4,104,1,1,1
21,4,104,3,1,3
21,4,104,2,2,2
23,4,104,2,2,3
23,4,104,0,0,3
23,4,104,2,0,2
23,4,104,3,3,3
24,4,104,3,2,6
24,4,104,3,0,3
24,4,104,3,2,3
24,4,104,3,3,3
24,4,104,3,2,3
24,4,104,2,0,3
24,4,104,3,3,4
24,4,104,2,0,2
26,4,104,4,2,4
26,4,104,4,4,6
26,4,104,4,2,4
26,4,104,4,2,4
34,4,104,6,5,5
34,4,104,2,2,2
34,4,104,6,1,5
34,4,104,4,2,5
34,4,104,1,1,2
34,4,104,4,3,8
34,4,104,6,1,5
35,4,104,6,5,5
35,4,104,1,1,2
35,4,104,5,5,8
36,4,104,1,1,5
37,4,104,2,2,2
39,4,104,1,1,2
39,4,104,1,1,2
40,4,104,2,2,6
40,4,104,8,7,7
42,4,104,2,2,6
42,4,104,8,7,7
42,4,104,5,4,9
44,4,104,5,5,9
44,4,104,3,0,3
45,4,104,6,6,6
45,4,104,3,3,6
46,4,104,4,3,7
47,4,104,1,1,3
48,4,104,4,2,6
48,4,104,4,2,6
48,4,104,6,6,10
51,4,104,10,2,6
51,4,104,4,4,5
51,4,104,2,1,3
51,4,104,10,2,6
52,4,104,7,7,11
52,4,104,2,0,7
52,4,104,2,2,4
52,4,104,4,1,4
53,4,104,3,3,4
53,4,104,7,0,9
53,4,104,4,1,4
54,4,104,2,2,4
54,4,104,2,2,7
54,4,104,5,4,11
54,4,104,4,2,6
54,4,104,4,4,5
55,4,104,7,7,11
55,4,104,4,2,6
55,4,104,2,2,7
55,4,104,4,2,6
55,4,104,3,3,4
55,4,104,3,3,4
55,4,104,3,3,4
55,4,104,4,4,5
55,4,104,4,3,7
55,4,104,2,2,7
56,4,104,2,2,7
57,4,104,4,2,6
57,4,104,5,5,6
57,4,104,2,2,4
58,4,104,4,1,4
58,4,104,4,3,7
58,4,104,7,7,7
58,4,104,4,2,6
58,4,104,3,3,4
58,4,104,7,0,9
58,4,104,2,2,7
60,4,104,4,2,6
63,4,104,8,8,12
63,4,104,3,3,5
63,4,104,8,0,10
63,4,104,4,1,5
63,4,104,7,7,7
65,4,104,4,3,7
66,4,104,5,1,6
66,4,104,5,4,13
68,4,104,5,5,7
70,4,104,9,0,10
70,4,104,6,5,6
71,4,104,9,1,11
71,4,104,5,2,8
71,4,104,8,8,8
71,4,104,9,9,13
71,4,104,8,8,8
72,4,104,5,3,8
73,4,104,6,6,7
73,4,104,5,5,7
73,4,104,5,5,7
73,4,104,5,5,7
73,4,104,5,5,7
73,4,104,9,9,14
75,4,104,3,3,7
75,4,104,5,3,9
75,4,104,5,3,8
75,4,104,5,3,9
75,4,104,14,10,11
75,4,104,3,3,7
75,4,104,6,6,8
76,4,104,6,6,7
77,4,104,3,3,7
77,4,104,2,0,8
77,4,104,6,3,8
79,4,104,6,6,8
80,4,104,6,6,8
80,4,104,6,3,9
80,4,104,6,3,9
80,4,104,2,2,9
80,4,104,6,2,9
80,4,104,6,6,7
80,4,104,6,3,9
80,4,104,5,5,7
80,4,104,9,9,15
80,4,104,6,3,9
80,4,104,6,3,9
83,4,104,2,1,9
83,4,104,6,6,9
83,4,104,6,6,9
84,4,104,6,3,9
84,4,104,9,9,15
84,4,104,14,10,13
84,4,104,6,6,9
85,4,104,6,3,9
85,4,104,6,3,9
85,4,104,6,6,8
85,4,104,7,7,9
85,4,104,6,2,9
86,4,104,4,4,10
87,4,104,15,5,11
88,4,104,4,4,10
88,4,104,6,3,10
88,4,104,7,3,10
88,4,104,7,6,15
88,4,104,15,10,13
88,4,104,15,10,13
88,4,104,9,9,9
89,4,104,9,9,9
